2016-10-14 16:43:19.205 ; Settings      ; Debug       ; No settings file exists for EngineSettings. A new instance with default values has been created. [0ms]
2016-10-14 16:43:19.209 ; Settings      ; Debug       ; No settings file exists for ResultSettings. A new instance with default values has been created. [0ms]
2016-10-14 16:43:19.215 ; Settings      ; Debug       ; No settings file exists for GuiControlsSettings. A new instance with default values has been created. [0ms]
2016-10-14 16:43:19.216 ; Settings      ; Debug       ; No settings file exists for GuiSettings. A new instance with default values has been created. [0ms]
2016-10-14 16:43:19.294 ; TestPlan      ; Debug       ; TestStep Delay PrePlanRunCompleted. [0 ms]
2016-10-14 16:43:19.294 ; TestPlan      ; Debug       ; TestStep Delay (1) PrePlanRunCompleted. [0 ms]
2016-10-14 16:43:19.294 ; TestPlan      ; Debug       ; TestStep Set Verdict PrePlanRunCompleted. [0 ms]
2016-10-14 16:43:19.300 ; TestPlan      ; Information ; "Delay" started.
2016-10-14 16:43:20.131 ; Session       ; Debug       ; Windows Version: Microsoft Windows NT 6.2.9200.0
2016-10-14 16:43:20.131 ; Session       ; Debug       ; .Net Version: CDF, v2.0.50727, v3.0, v3.5, v4, v4.0
2016-10-14 16:43:20.131 ; Session       ; Debug       ; Keysight I/O Libs Version:81.1.20011.4
2016-10-14 16:43:20.131 ; Session       ; Debug       ; Processor Name: Intel(R) Core(TM) i7-4800MQ CPU @ 2.70GHz
2016-10-14 16:43:20.307 ; TestPlan      ; Information ; "Delay" completed. [1006 ms]
2016-10-14 16:43:20.308 ; TestPlan      ; Information ; "Delay (1)" started.
2016-10-14 16:43:21.314 ; TestPlan      ; Information ; "Delay (1)" completed. [1006 ms]
2016-10-14 16:43:21.314 ; TestPlan      ; Information ; "Set Verdict" started.
2016-10-14 16:43:21.316 ; TestPlan      ; Information ; "Set Verdict" completed with verdict 'Pass'. [2 ms]
2016-10-14 16:43:21.316 ; TestPlan      ; Information ; TestPlan Run finished. [2022 ms]
2016-10-14 16:43:21.322 ; TestPlan      ; Debug       ; TestStep 'Set Verdict' PostPlanRun completed. [0 ms]
2016-10-14 16:43:21.322 ; TestPlan      ; Debug       ; TestStep 'Delay (1)' PostPlanRun completed. [0 ms]
2016-10-14 16:43:21.322 ; TestPlan      ; Debug       ; TestStep 'Delay' PostPlanRun completed. [0 ms]
2016-10-14 16:48:04.458 ; Session       ; Debug       ; Session log loaded as 'TapPythonConsole_log.txt'.
2016-10-14 16:48:04.467 ; Session       ; Debug       ; Startup session log loaded as 'TapPythonConsole_log.txt'.
2016-10-14 16:48:04.532 ; TestPlan      ; Information ; Loaded test plan from Delay-Verdict.TapPlan [64 ms]
2016-10-14 16:48:04.542 ; TestPlan      ; Information ; ------------------------------------------------
2016-10-14 16:48:04.553 ; TestPlan      ; Information ; Starting TestPlan 'Delay-Verdict.TapPlan' on 10/14/2016 4:48:04 PM, 3 of 3 TestSteps enabled.
2016-10-14 16:48:04.560 ; Settings      ; Debug       ; No settings file exists for DutSettings. A new instance with default values has been created. [0ms]
2016-10-14 16:48:04.566 ; Settings      ; Debug       ; No settings file exists for ConnectionSettings. A new instance with default values has been created. [0ms]
2016-10-14 16:48:04.566 ; Settings      ; Debug       ; No settings file exists for InstrumentSettings. A new instance with default values has been created. [0ms]
2016-10-14 16:48:04.567 ; Settings      ; Debug       ; No settings file exists for EngineSettings. A new instance with default values has been created. [0ms]
2016-10-14 16:48:04.571 ; Settings      ; Debug       ; No settings file exists for ResultSettings. A new instance with default values has been created. [0ms]
2016-10-14 16:48:04.581 ; Settings      ; Debug       ; No settings file exists for GuiControlsSettings. A new instance with default values has been created. [0ms]
2016-10-14 16:48:04.583 ; Settings      ; Debug       ; No settings file exists for GuiSettings. A new instance with default values has been created. [0ms]
2016-10-14 16:48:04.654 ; TestPlan      ; Debug       ; TestStep Delay PrePlanRunCompleted. [0 ms]
